support,itemsets
0.40714285714285714,"['S0', 'S12']"
0.42714285714285716,"['S13', 'S0']"
0.38142857142857145,"['S14', 'S0']"
0.36142857142857143,"['S15', 'S0']"
0.4014285714285714,"['S17', 'S0']"
0.38857142857142857,"['S0', 'S18']"
0.3985714285714286,"['S0', 'S21']"
0.41285714285714287,"['S22', 'S0']"
0.37857142857142856,"['S23', 'S0']"
0.3942857142857143,"['S24', 'S0']"
0.41714285714285715,"['S25', 'S0']"
0.39714285714285713,"['S28', 'S0']"
0.3742857142857143,"['S31', 'S0']"
0.38857142857142857,"['S0', 'S32']"
0.37714285714285717,"['S0', 'S33']"
0.31142857142857144,"['S34', 'S0']"
0.3385714285714286,"['S35', 'S0']"
0.3742857142857143,"['S36', 'S0']"
0.3914285714285714,"['S0', 'S37']"
0.38857142857142857,"['S38', 'S0']"
0.43,"['S39', 'S0']"
0.3757142857142857,"['S0', 'S40']"
0.39285714285714285,"['S0', 'S41']"
0.43142857142857144,"['S42', 'S0']"
0.4085714285714286,"['S0', 'S43']"
0.38285714285714284,"['S44', 'S0']"
0.39714285714285713,"['S45', 'S0']"
0.40714285714285714,"['S0', 'S46']"
0.42,"['S47', 'S0']"
0.3985714285714286,"['S0', 'S48']"
0.4085714285714286,"['S0', 'S49']"
0.39714285714285713,"['S50', 'S0']"
0.3914285714285714,"['S0', 'S51']"
0.40714285714285714,"['S52', 'S0']"
0.37714285714285717,"['S53', 'S0']"
0.39714285714285713,"['S54', 'S0']"
0.40714285714285714,"['S0', 'S55']"
0.4057142857142857,"['S56', 'S0']"
0.41285714285714287,"['S57', 'S0']"
0.4228571428571429,"['S58', 'S0']"
0.3157142857142857,"['S59', 'S0']"
0.4471428571428571,"['S1', 'S2']"
0.4257142857142857,"['S1', 'S3']"
0.4471428571428571,"['S1', 'S4']"
0.43857142857142856,"['S1', 'S5']"
0.4114285714285714,"['S1', 'S6']"
0.4328571428571429,"['S1', 'S7']"
0.43142857142857144,"['S1', 'S8']"
0.45571428571428574,"['S1', 'S9']"
0.43714285714285717,"['S1', 'S10']"
0.4642857142857143,"['S1', 'S11']"
0.44,"['S1', 'S12']"
0.44142857142857145,"['S1', 'S13']"
0.4357142857142857,"['S1', 'S14']"
0.4014285714285714,"['S1', 'S15']"
0.4357142857142857,"['S1', 'S17']"
0.42714285714285716,"['S1', 'S18']"
0.45714285714285713,"['S1', 'S21']"
0.46,"['S1', 'S22']"
0.42,"['S1', 'S23']"
0.4257142857142857,"['S1', 'S24']"
0.4328571428571429,"['S1', 'S25']"
0.3242857142857143,"['S1', 'S26']"
0.43714285714285717,"['S1', 'S28']"
0.4185714285714286,"['S1', 'S31']"
0.39714285714285713,"['S1', 'S32']"
0.4,"['S1', 'S33']"
0.3314285714285714,"['S1', 'S34']"
